trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
automatic	high	3	8388608	3	8	24576	357688959	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	54052748	2530750	0	0	0	0
automatic	high	3	8388608	4	8	24576	364066667	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	55949124	3057583	0	0	0	0
automatic	high	3	8388608	5	8	24576	363212125	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	54562374	2546041	0	0	0	0
automatic	high	3	8388608	6	8	24576	361496500	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	55904792	2741291	0	0	0	0
automatic	mixed	1	4194304	0	8	24576	284130750	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19605958	957875	0	0	0	0
automatic	mixed	1	4194304	1	8	24576	283661208	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19538541	964417	0	0	0	0
automatic	mixed	1	4194304	2	8	24576	279522667	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19975709	961333	0	0	0	0
automatic	mixed	1	4194304	3	8	24576	277216417	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19833666	969209	0	0	0	0
automatic	mixed	1	4194304	4	8	24576	283360791	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19885169	978375	0	0	0	0
automatic	mixed	1	4194304	5	8	24576	280314208	4831838208	23	0	96584968	3092952	93492016	3092952	5845264	2512440	4194304	91	7733248	19748877	977167	0	0	0	0
