trigger	scenario	tenuring_age	moving	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	moving_minor_collections	moved_cells	moved_bytes	move_failures	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
shared	mixed	3	0	45088768	6	12	8000	905148208	2304000000	3	0	136584704	1714040	134870664	4240	0	0	0	0	10569464	10313000	5636096	455	47644672	74002251	26095959	3	3	6	0
shared	mixed	1	1	45088768	0	12	8000	1108649459	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	191558251	100000709	2	1	6	1
shared	mixed	1	1	45088768	1	12	8000	1177521708	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	205294875	105294083	2	1	8	1
shared	mixed	1	1	45088768	2	12	8000	1188254875	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	205989667	105988959	2	1	8	1
shared	mixed	1	1	45088768	3	12	8000	1060991375	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	95380542	95380542	1	1	6	0
shared	mixed	1	1	45088768	4	12	8000	978917458	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	97720875	97720875	1	1	4	0
shared	mixed	1	1	45088768	5	12	8000	1179190250	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	186334875	100004042	2	1	8	1
shared	mixed	1	1	45088768	6	12	8000	1173629792	2304000000	1	1	145187904	384	145187520	384	1	3	384	0	252480	0	22544384	8	1245184	188300958	100000667	2	1	6	1
shared	mixed	3	1	45088768	0	12	8000	1438068583	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	306499042	106497417	3	1	12	2
shared	mixed	3	1	45088768	1	12	8000	1281091125	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	308128292	108122666	3	1	10	2
shared	mixed	3	1	45088768	2	12	8000	972910041	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	95382083	95382083	1	1	4	0
shared	mixed	3	1	45088768	3	12	8000	1061239708	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	93300042	93300042	1	1	6	0
shared	mixed	3	1	45088768	4	12	8000	1174146916	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	210564209	110563042	2	1	8	1
shared	mixed	3	1	45088768	5	12	8000	1150950458	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	193446250	100000750	2	1	8	1
shared	mixed	3	1	45088768	6	12	8000	1328396083	2304000000	1	1	145187904	384	145187520	0	1	3	384	0	252480	0	22544384	8	1245184	194552332	100000666	2	1	10	1
